subject,total trials,hit,miss,cr,fa,omit,h25,m25,h50,m50,h500,m500,%h,%fa,%m,%cr,%omit,%h25,%h50,%h500,%m25,%m50,%m500,rt h,rt m,rt cr,rt fa,rt h25,rt m25,rt h50,rt m50,rt h500,rt m500
3,162.0,58.0,23.0,56.0,24.0,1.0,14.0,13.0,17.0,10.0,27.0,0.0,71.60493827160494,30.0,28.395061728395067,70.0,0.6172839506172839,51.85185185185186,62.96296296296296,100.0,48.148148148148145,37.03703703703704,0.0,58.827586206896555,65.52173913043478,69.85714285714286,59.666666666666664,38.92857142857143,70.53846153846153,62.0,59.0,67.14814814814815,
6,162.0,63.0,18.0,73.0,8.0,0.0,17.0,10.0,22.0,5.0,24.0,3.0,77.77777777777777,9.876543209876543,22.222222222222218,90.12345679012344,0.0,62.96296296296296,81.48148148148148,88.8888888888889,37.03703703703704,18.51851851851852,11.111111111111109,52.142857142857146,74.88888888888889,64.73972602739727,52.625,46.29411764705882,75.1,64.22727272727272,65.8,45.20833333333333,89.33333333333334
11,157.0,53.0,26.0,59.0,19.0,0.0,11.0,15.0,17.0,10.0,25.0,1.0,67.0886075949367,24.35897435897436,32.91139240506329,75.64102564102564,0.0,42.307692307692314,62.96296296296296,96.15384615384615,57.69230769230769,37.03703703703704,3.8461538461538463,90.24528301886792,86.6923076923077,107.62711864406779,86.26315789473684,110.45454545454545,81.8,84.41176470588235,74.0,85.32000000000001,287.0
