subject,total trials,hit,miss,cr,fa,omit,h25,m25,h50,m50,h500,m500,%h,%fa,%m,%cr,%omit,%h25,%h50,%h500,%m25,%m50,%m500,rt h,rt m,rt cr,rt fa,rt h25,rt m25,rt h50,rt m50,rt h500,rt m500
39,208,49,51,90,14,4,10.0,24.0,11.0,22.0,28.0,5.0,49.0,13.461538461538462,51.0,86.53846153846153,1.9230769230769231,29.41176470588235,33.333333333333336,84.84848484848484,70.58823529411765,66.66666666666667,15.151515151515152,34.6530612244898,29.470588235294116,28.38888888888889,46.285714285714285,26.6,28.541666666666668,26.90909090909091,30.272727272727273,40.57142857142857,30.4
40,209,56,46,81,25,1,10.0,24.0,18.0,17.0,28.0,5.0,54.90196078431372,23.58490566037736,45.09803921568628,76.41509433962264,0.4784688995215311,29.41176470588235,51.42857142857143,84.84848484848484,70.58823529411765,48.57142857142857,15.151515151515152,31.267857142857142,30.32608695652174,32.55555555555556,34.6,22.2,28.0,28.72222222222222,27.176470588235293,36.142857142857146,52.2
23,204,74,28,83,17,2,16.0,18.0,26.0,9.0,32.0,1.0,72.54901960784314,17.0,27.45098039215686,83.0,0.9803921568627451,47.05882352941177,74.28571428571429,96.96969696969697,52.94117647058823,25.714285714285715,3.0303030303030303,27.45945945945946,89.53571428571429,76.12048192771084,37.0,36.75,88.44444444444444,24.884615384615383,84.33333333333333,24.90625,156.0
19,203,45,54,92,8,4,9.0,25.0,12.0,20.0,24.0,9.0,45.45454545454545,8.0,54.54545454545455,92.0,1.9704433497536946,26.470588235294116,37.5,72.72727272727273,73.52941176470588,62.5,27.272727272727273,40.644444444444446,75.14814814814815,58.70652173913044,48.875,43.0,76.64,37.833333333333336,69.0,41.166666666666664,84.66666666666667
13,196,42,51,80,9,14,13.0,19.0,6.0,25.0,23.0,7.0,45.16129032258065,10.112359550561798,54.83870967741935,89.88764044943821,7.142857142857143,40.625,19.35483870967742,76.66666666666667,59.375,80.64516129032258,23.333333333333332,31.785714285714285,108.0,96.875,75.44444444444444,27.384615384615383,113.57894736842105,28.0,94.84,35.26086956521739,139.85714285714286
16,199,57,37,69,21,15,10.0,21.0,20.0,12.0,27.0,4.0,60.638297872340424,23.333333333333332,39.361702127659576,76.66666666666667,7.5376884422110555,32.25806451612903,62.5,87.09677419354838,67.74193548387096,37.5,12.903225806451612,51.26315789473684,67.72972972972973,68.10144927536231,71.9047619047619,33.7,69.9047619047619,57.3,58.666666666666664,53.2962962962963,83.5
